/n/home07/gthomas/projects/grampa
# ASTRAL PRO FULL

grampa.py -s /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/19spec/astral-pro-tree//chelicerate-19spec-astral-pro.rooted.tre -g /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/19spec/astral-pro-tree//loci-rearrange-70.rooted.treefile -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa//19spec/astral-pro-bs70-full/ -c 15 -f astral-pro-bs70-full -p 30
# 03.13.2025  16:23:02  Collapsing gene tree groupings                    MUL-tree # 125 / 1187
# 03.13.2025  16:23:08  Collapsing gene tree groupings                    MUL-tree # 155 / 1187
# 03.13.2025  16:23:13  Collapsing gene tree groupings                    MUL-tree # 185 / 1187
# 03.13.2025  16:23:19  Collapsing gene tree groupings                    MUL-tree # 219 / 1187
# 03.13.2025  16:23:24  Collapsing gene tree groupings                    MUL-tree # 249 / 1187
# 03.13.2025  16:23:29  Collapsing gene tree groupings                    MUL-tree # 279 / 1187
# 03.13.2025  16:23:35  Collapsing gene tree groupings                    MUL-tree # 308 / 1187
# 03.13.2025  16:23:40  Collapsing gene tree groupings                    MUL-tree # 338 / 1187
# 03.13.2025  16:23:45  Collapsing gene tree groupings                    MUL-tree # 368 / 1187
# 03.13.2025  16:23:51  Collapsing gene tree groupings                    MUL-tree # 398 / 1187
# 03.13.2025  16:23:56  Collapsing gene tree groupings                    MUL-tree # 428 / 1187
# 03.13.2025  16:24:01  Collapsing gene tree groupings                    MUL-tree # 458 / 1187
# 03.13.2025  16:24:07  Collapsing gene tree groupings                    MUL-tree # 489 / 1187
# 03.13.2025  16:24:12  Collapsing gene tree groupings                    MUL-tree # 519 / 1187
# 03.13.2025  16:24:17  Collapsing gene tree groupings                    MUL-tree # 547 / 1187
# 03.13.2025  16:24:23  Collapsing gene tree groupings                    MUL-tree # 577 / 1187
# 03.13.2025  16:24:28  Collapsing gene tree groupings                    MUL-tree # 607 / 1187
# 03.13.2025  16:24:33  Collapsing gene tree groupings                    MUL-tree # 637 / 1187
# 03.13.2025  16:24:39  Collapsing gene tree groupings                    MUL-tree # 667 / 1187
# 03.13.2025  16:24:44  Collapsing gene tree groupings                    MUL-tree # 695 / 1187
# 03.13.2025  16:24:49  Collapsing gene tree groupings                    MUL-tree # 725 / 1187
# 03.13.2025  16:24:55  Collapsing gene tree groupings                    MUL-tree # 755 / 1187
# 03.13.2025  16:25:01  Collapsing gene tree groupings                    MUL-tree # 786 / 1187
# 03.13.2025  16:25:07  Collapsing gene tree groupings                    MUL-tree # 816 / 1187
# 03.13.2025  16:25:13  Collapsing gene tree groupings                    MUL-tree # 846 / 1187
# 03.13.2025  16:25:20  Collapsing gene tree groupings                    MUL-tree # 876 / 1187
# 03.13.2025  16:25:25  Collapsing gene tree groupings                    MUL-tree # 906 / 1187
# 03.13.2025  16:25:33  Collapsing gene tree groupings                    MUL-tree # 939 / 1187
# 03.13.2025  16:25:39  Collapsing gene tree groupings                    MUL-tree # 970 / 1187
# 03.13.2025  16:25:44  Collapsing gene tree groupings                    MUL-tree # 1000 / 1187
# 03.13.2025  16:25:50  Collapsing gene tree groupings                    MUL-tree # 1030 / 1187
# 03.13.2025  16:25:56  Collapsing gene tree groupings                    MUL-tree # 1059 / 1187
# 03.13.2025  16:26:03  Collapsing gene tree groupings                    MUL-tree # 1093 / 1187
# 03.13.2025  16:26:11  Collapsing gene tree groupings                    MUL-tree # 1122 / 1187
# 03.13.2025  16:26:20  Collapsing gene tree groupings                    MUL-tree # 1153 / 1187
# 03.13.2025  16:26:30  Collapsing gene tree groupings                    MUL-tree # 1183 / 1187
# 03.13.2025  16:27:29  Reconciliation                                    MUL-tree # 26 / 1187
# 03.13.2025  16:27:54  Reconciliation                                    MUL-tree # 55 / 1187
# 03.13.2025  16:28:01  Reconciliation                                    MUL-tree # 78 / 1187
# 03.13.2025  16:28:06  Reconciliation                                    MUL-tree # 85 / 1187
# 03.13.2025  16:28:11  Reconciliation                                    MUL-tree # 108 / 1187
# 03.13.2025  16:28:16  Reconciliation                                    MUL-tree # 138 / 1187
# 03.13.2025  16:28:41  Reconciliation                                    MUL-tree # 167 / 1187
# 03.13.2025  16:28:47  Reconciliation                                    MUL-tree # 191 / 1187
# 03.13.2025  16:29:11  Reconciliation                                    MUL-tree # 261 / 1187
# 03.13.2025  16:29:31  Reconciliation                                    MUL-tree # 292 / 1187
# 03.13.2025  16:29:51  Reconciliation                                    MUL-tree # 366 / 1187
# 03.13.2025  16:29:59  Reconciliation                                    MUL-tree # 396 / 1187
# 03.13.2025  16:30:03  Reconciliation                                    MUL-tree # 423 / 1187
# 03.13.2025  16:30:50  Reconciliation                                    MUL-tree # 509 / 1187
# 03.13.2025  16:30:58  Reconciliation                                    MUL-tree # 543 / 1187
# 03.13.2025  16:31:16  Reconciliation                                    MUL-tree # 570 / 1187
# 03.13.2025  16:31:20  Reconciliation                                    MUL-tree # 587 / 1187
# 03.13.2025  16:31:24  Reconciliation                                    MUL-tree # 605 / 1187
# 03.13.2025  16:31:30  Reconciliation                                    MUL-tree # 632 / 1187
# 03.13.2025  16:31:35  Reconciliation                                    MUL-tree # 653 / 1187
# 03.13.2025  16:31:40  Reconciliation                                    MUL-tree # 676 / 1187
# 03.13.2025  16:31:50  Reconciliation                                    MUL-tree # 703 / 1187
# 03.13.2025  16:32:01  Reconciliation                                    MUL-tree # 737 / 1187
# 03.13.2025  16:32:05  Reconciliation                                    MUL-tree # 750 / 1187
# 03.13.2025  16:32:14  Reconciliation                                    MUL-tree # 779 / 1187
# 03.13.2025  16:32:21  Reconciliation                                    MUL-tree # 808 / 1187
# 03.13.2025  16:32:27  Reconciliation                                    MUL-tree # 837 / 1187
# 03.13.2025  16:32:51  Reconciliation                                    MUL-tree # 841 / 1187
# 03.13.2025  16:32:58  Reconciliation                                    MUL-tree # 843 / 1187
# 03.13.2025  16:33:04  Reconciliation                                    MUL-tree # 853 / 1187
# 03.13.2025  16:33:11  Reconciliation                                    MUL-tree # 882 / 1187
# 03.13.2025  16:36:55  Reconciliation                                    MUL-tree # 951 / 1187
# 03.13.2025  16:37:02  Reconciliation                                    MUL-tree # 966 / 1187
# 03.13.2025  16:37:08  Reconciliation                                    MUL-tree # 988 / 1187
# 03.13.2025  16:37:24  Reconciliation                                    MUL-tree # 1015 / 1187
# 03.13.2025  16:37:34  Reconciliation                                    MUL-tree # 1030 / 1187
# 03.13.2025  16:37:44  Reconciliation                                    MUL-tree # 1054 / 1187
# 03.13.2025  16:38:03  Reconciliation                                    MUL-tree # 1083 / 1187
# 03.13.2025  16:38:27  Reconciliation                                    MUL-tree # 1110 / 1187
# 03.13.2025  16:38:46  Reconciliation                                    MUL-tree # 1138 / 1187
# 03.13.2025  16:39:45  Reconciliation                                    MUL-tree # 1167 / 1187
# 03.13.2025  16:22:42  Collapsing gene tree groupings                    MUL-tree # 12 / 1187
# 03.13.2025  16:22:48  Collapsing gene tree groupings                    MUL-tree # 42 / 1187
# 03.13.2025  16:22:53  Collapsing gene tree groupings                    MUL-tree # 72 / 1187
# 03.13.2025  16:22:59  Collapsing gene tree groupings                    MUL-tree # 103 / 1187
# 03.13.2025  16:23:04  Collapsing gene tree groupings                    MUL-tree # 133 / 1187
# 03.13.2025  16:23:09  Collapsing gene tree groupings                    MUL-tree # 163 / 1187
# 03.13.2025  16:23:14  Collapsing gene tree groupings                    MUL-tree # 193 / 1187
# 03.13.2025  16:23:20  Collapsing gene tree groupings                    MUL-tree # 223 / 1187
# 03.13.2025  16:23:25  Collapsing gene tree groupings                    MUL-tree # 251 / 1187
# 03.13.2025  16:23:30  Collapsing gene tree groupings                    MUL-tree # 281 / 1187
# 03.13.2025  16:23:35  Collapsing gene tree groupings                    MUL-tree # 311 / 1187
# 03.13.2025  16:23:40  Collapsing gene tree groupings                    MUL-tree # 341 / 1187
# 03.13.2025  16:23:46  Collapsing gene tree groupings                    MUL-tree # 371 / 1187
# 03.13.2025  16:23:51  Collapsing gene tree groupings                    MUL-tree # 399 / 1187
# 03.13.2025  16:23:56  Collapsing gene tree groupings                    MUL-tree # 429 / 1187
# 03.13.2025  16:24:01  Collapsing gene tree groupings                    MUL-tree # 459 / 1187
# 03.13.2025  16:24:07  Collapsing gene tree groupings                    MUL-tree # 488 / 1187
# 03.13.2025  16:24:12  Collapsing gene tree groupings                    MUL-tree # 518 / 1187
# 03.13.2025  16:24:18  Collapsing gene tree groupings                    MUL-tree # 552 / 1187
# 03.13.2025  16:24:24  Collapsing gene tree groupings                    MUL-tree # 582 / 1187
# 03.13.2025  16:24:29  Collapsing gene tree groupings                    MUL-tree # 612 / 1187
# 03.13.2025  16:24:34  Collapsing gene tree groupings                    MUL-tree # 641 / 1187
# 03.13.2025  16:24:39  Collapsing gene tree groupings                    MUL-tree # 671 / 1187
# 03.13.2025  16:24:45  Collapsing gene tree groupings                    MUL-tree # 701 / 1187
# 03.13.2025  16:24:50  Collapsing gene tree groupings                    MUL-tree # 731 / 1187
# 03.13.2025  16:24:56  Collapsing gene tree groupings                    MUL-tree # 760 / 1187
# 03.13.2025  16:25:01  Collapsing gene tree groupings                    MUL-tree # 790 / 1187
# 03.13.2025  16:25:07  Collapsing gene tree groupings                    MUL-tree # 821 / 1187
# 03.13.2025  16:25:15  Collapsing gene tree groupings                    MUL-tree # 853 / 1187
# 03.13.2025  16:25:21  Collapsing gene tree groupings                    MUL-tree # 883 / 1187
# 03.13.2025  16:25:27  Collapsing gene tree groupings                    MUL-tree # 913 / 1187
# 03.13.2025  16:25:33  Collapsing gene tree groupings                    MUL-tree # 943 / 1187
# 03.13.2025  16:25:38  Collapsing gene tree groupings                    MUL-tree # 969 / 1187
# 03.13.2025  16:25:44  Collapsing gene tree groupings                    MUL-tree # 999 / 1187
# 03.13.2025  16:25:50  Collapsing gene tree groupings                    MUL-tree # 1029 / 1187
# 03.13.2025  16:25:55  Collapsing gene tree groupings                    MUL-tree # 1057 / 1187
# 03.13.2025  16:26:02  Collapsing gene tree groupings                    MUL-tree # 1088 / 1187
# 03.13.2025  16:26:09  Collapsing gene tree groupings                    MUL-tree # 1114 / 1187
# 03.13.2025  16:26:17  Collapsing gene tree groupings                    MUL-tree # 1141 / 1187
# 03.13.2025  16:26:25  Collapsing gene tree groupings                    MUL-tree # 1171 / 1187
# 03.13.2025  16:27:28  Reconciliation                                    MUL-tree # 14 / 1187
# 03.13.2025  16:27:52  Reconciliation                                    MUL-tree # 43 / 1187
# 03.13.2025  16:27:59  Reconciliation                                    MUL-tree # 64 / 1187
# 03.13.2025  16:28:07  Reconciliation                                    MUL-tree # 91 / 1187
# 03.13.2025  16:28:12  Reconciliation                                    MUL-tree # 114 / 1187
# 03.13.2025  16:28:37  Reconciliation                                    MUL-tree # 143 / 1187
# 03.13.2025  16:29:03  Reconciliation                                    MUL-tree # 232 / 1187
# 03.13.2025  16:29:08  Reconciliation                                    MUL-tree # 247 / 1187
# 03.13.2025  16:29:13  Reconciliation                                    MUL-tree # 275 / 1187
# 03.13.2025  16:29:33  Reconciliation                                    MUL-tree # 304 / 1187
# 03.13.2025  16:29:58  Reconciliation                                    MUL-tree # 394 / 1187
# 03.13.2025  16:30:03  Reconciliation                                    MUL-tree # 421 / 1187
# 03.13.2025  16:30:48  Reconciliation                                    MUL-tree # 502 / 1187
# 03.13.2025  16:30:52  Reconciliation                                    MUL-tree # 521 / 1187
# 03.13.2025  16:31:11  Reconciliation                                    MUL-tree # 550 / 1187
# 03.13.2025  16:31:28  Reconciliation                                    MUL-tree # 621 / 1187
# 03.13.2025  16:31:34  Reconciliation                                    MUL-tree # 646 / 1187
# 03.13.2025  16:31:39  Reconciliation                                    MUL-tree # 672 / 1187
# 03.13.2025  16:31:50  Reconciliation                                    MUL-tree # 700 / 1187
# 03.13.2025  16:31:59  Reconciliation                                    MUL-tree # 728 / 1187
# 03.13.2025  16:32:09  Reconciliation                                    MUL-tree # 761 / 1187
# 03.13.2025  16:32:17  Reconciliation                                    MUL-tree # 789 / 1187
# 03.13.2025  16:32:24  Reconciliation                                    MUL-tree # 819 / 1187
# 03.13.2025  16:33:05  Reconciliation                                    MUL-tree # 857 / 1187
# 03.13.2025  16:33:12  Reconciliation                                    MUL-tree # 886 / 1187
# 03.13.2025  16:37:02  Reconciliation                                    MUL-tree # 967 / 1187
# 03.13.2025  16:37:22  Reconciliation                                    MUL-tree # 1007 / 1187
# 03.13.2025  16:37:37  Reconciliation                                    MUL-tree # 1044 / 1187
# 03.13.2025  16:37:47  Reconciliation                                    MUL-tree # 1067 / 1187
# 03.13.2025  16:38:29  Reconciliation                                    MUL-tree # 1117 / 1187
# 03.13.2025  16:38:46  Reconciliation                                    MUL-tree # 1141 / 1187
# 03.13.2025  16:39:43  Reconciliation                                    MUL-tree # 1158 / 1187
# 03.13.2025  16:22:42  Collapsing gene tree groupings                    MUL-tree # 7 / 1187
# 03.13.2025  16:22:47  Collapsing gene tree groupings                    MUL-tree # 37 / 1187
# 03.13.2025  16:22:53  Collapsing gene tree groupings                    MUL-tree # 69 / 1187
# 03.13.2025  16:22:58  Collapsing gene tree groupings                    MUL-tree # 99 / 1187
# 03.13.2025  16:23:03  Collapsing gene tree groupings                    MUL-tree # 129 / 1187
# 03.13.2025  16:23:08  Collapsing gene tree groupings                    MUL-tree # 159 / 1187
# 03.13.2025  16:23:14  Collapsing gene tree groupings                    MUL-tree # 190 / 1187
# 03.13.2025  16:23:19  Collapsing gene tree groupings                    MUL-tree # 220 / 1187
# 03.13.2025  16:23:25  Collapsing gene tree groupings                    MUL-tree # 250 / 1187
# 03.13.2025  16:23:30  Collapsing gene tree groupings                    MUL-tree # 280 / 1187
# 03.13.2025  16:23:35  Collapsing gene tree groupings                    MUL-tree # 310 / 1187
# 03.13.2025  16:23:40  Collapsing gene tree groupings                    MUL-tree # 340 / 1187
# 03.13.2025  16:23:46  Collapsing gene tree groupings                    MUL-tree # 372 / 1187
# 03.13.2025  16:23:51  Collapsing gene tree groupings                    MUL-tree # 400 / 1187
# 03.13.2025  16:23:56  Collapsing gene tree groupings                    MUL-tree # 430 / 1187
# 03.13.2025  16:24:02  Collapsing gene tree groupings                    MUL-tree # 460 / 1187
# 03.13.2025  16:24:07  Collapsing gene tree groupings                    MUL-tree # 490 / 1187
# 03.13.2025  16:24:12  Collapsing gene tree groupings                    MUL-tree # 520 / 1187
# 03.13.2025  16:24:18  Collapsing gene tree groupings                    MUL-tree # 548 / 1187
# 03.13.2025  16:24:23  Collapsing gene tree groupings                    MUL-tree # 578 / 1187
# 03.13.2025  16:24:28  Collapsing gene tree groupings                    MUL-tree # 608 / 1187
# 03.13.2025  16:24:33  Collapsing gene tree groupings                    MUL-tree # 638 / 1187
# 03.13.2025  16:24:39  Collapsing gene tree groupings                    MUL-tree # 668 / 1187
# 03.13.2025  16:24:44  Collapsing gene tree groupings                    MUL-tree # 696 / 1187
# 03.13.2025  16:24:49  Collapsing gene tree groupings                    MUL-tree # 726 / 1187
# 03.13.2025  16:24:55  Collapsing gene tree groupings                    MUL-tree # 756 / 1187
# 03.13.2025  16:25:00  Collapsing gene tree groupings                    MUL-tree # 784 / 1187
# 03.13.2025  16:25:06  Collapsing gene tree groupings                    MUL-tree # 814 / 1187
# 03.13.2025  16:25:13  Collapsing gene tree groupings                    MUL-tree # 844 / 1187
# 03.13.2025  16:25:19  Collapsing gene tree groupings                    MUL-tree # 873 / 1187
# 03.13.2025  16:25:25  Collapsing gene tree groupings                    MUL-tree # 903 / 1187
# 03.13.2025  16:25:32  Collapsing gene tree groupings                    MUL-tree # 933 / 1187
# 03.13.2025  16:25:37  Collapsing gene tree groupings                    MUL-tree # 963 / 1187
# 03.13.2025  16:25:43  Collapsing gene tree groupings                    MUL-tree # 993 / 1187
# 03.13.2025  16:25:49  Collapsing gene tree groupings                    MUL-tree # 1024 / 1187
# 03.13.2025  16:25:54  Collapsing gene tree groupings                    MUL-tree # 1054 / 1187
# 03.13.2025  16:26:01  Collapsing gene tree groupings                    MUL-tree # 1083 / 1187
# 03.13.2025  16:26:09  Collapsing gene tree groupings                    MUL-tree # 1113 / 1187
# 03.13.2025  16:26:18  Collapsing gene tree groupings                    MUL-tree # 1147 / 1187
# 03.13.2025  16:26:27  Collapsing gene tree groupings                    MUL-tree # 1177 / 1187
# 03.13.2025  16:27:28  Reconciliation                                    MUL-tree # 19 / 1187
# 03.13.2025  16:27:53  Reconciliation                                    MUL-tree # 49 / 1187
# 03.13.2025  16:28:00  Reconciliation                                    MUL-tree # 70 / 1187
# 03.13.2025  16:28:08  Reconciliation                                    MUL-tree # 99 / 1187
# 03.13.2025  16:28:14  Reconciliation                                    MUL-tree # 122 / 1187
# 03.13.2025  16:28:39  Reconciliation                                    MUL-tree # 151 / 1187
# 03.13.2025  16:28:44  Reconciliation                                    MUL-tree # 173 / 1187
# 03.13.2025  16:28:49  Reconciliation                                    MUL-tree # 195 / 1187
# 03.13.2025  16:28:59  Reconciliation                                    MUL-tree # 216 / 1187
# 03.13.2025  16:29:10  Reconciliation                                    MUL-tree # 256 / 1187
# 03.13.2025  16:29:15  Reconciliation                                    MUL-tree # 284 / 1187
# 03.13.2025  16:29:34  Reconciliation                                    MUL-tree # 309 / 1187
# 03.13.2025  16:29:38  Reconciliation                                    MUL-tree # 327 / 1187
# 03.13.2025  16:29:43  Reconciliation                                    MUL-tree # 345 / 1187
# 03.13.2025  16:29:51  Reconciliation                                    MUL-tree # 365 / 1187
# 03.13.2025  16:29:59  Reconciliation                                    MUL-tree # 401 / 1187
# 03.13.2025  16:30:04  Reconciliation                                    MUL-tree # 428 / 1187
# 03.13.2025  16:30:27  Reconciliation                                    MUL-tree # 450 / 1187
# 03.13.2025  16:30:31  Reconciliation                                    MUL-tree # 458 / 1187
# 03.13.2025  16:30:35  Reconciliation                                    MUL-tree # 466 / 1187
# 03.13.2025  16:30:39  Reconciliation                                    MUL-tree # 474 / 1187
# 03.13.2025  16:30:44  Reconciliation                                    MUL-tree # 484 / 1187
# 03.13.2025  16:30:48  Reconciliation                                    MUL-tree # 500 / 1187
# 03.13.2025  16:30:56  Reconciliation                                    MUL-tree # 539 / 1187
# 03.13.2025  16:31:14  Reconciliation                                    MUL-tree # 566 / 1187
# 03.13.2025  16:31:19  Reconciliation                                    MUL-tree # 583 / 1187
# 03.13.2025  16:31:23  Reconciliation                                    MUL-tree # 600 / 1187
# 03.13.2025  16:31:29  Reconciliation                                    MUL-tree # 625 / 1187
# 03.13.2025  16:31:36  Reconciliation                                    MUL-tree # 654 / 1187
# 03.13.2025  16:31:41  Reconciliation                                    MUL-tree # 678 / 1187
# 03.13.2025  16:31:50  Reconciliation                                    MUL-tree # 705 / 1187
# 03.13.2025  16:32:00  Reconciliation                                    MUL-tree # 731 / 1187
# 03.13.2025  16:32:10  Reconciliation                                    MUL-tree # 767 / 1187
# 03.13.2025  16:32:19  Reconciliation                                    MUL-tree # 798 / 1187
# 03.13.2025  16:32:25  Reconciliation                                    MUL-tree # 826 / 1187
# 03.13.2025  16:33:05  Reconciliation                                    MUL-tree # 858 / 1187
# 03.13.2025  16:33:12  Reconciliation                                    MUL-tree # 887 / 1187
# 03.13.2025  16:37:03  Reconciliation                                    MUL-tree # 971 / 1187
# 03.13.2025  16:37:09  Reconciliation                                    MUL-tree # 992 / 1187
# 03.13.2025  16:37:25  Reconciliation                                    MUL-tree # 1018 / 1187
# 03.13.2025  16:37:35  Reconciliation                                    MUL-tree # 1034 / 1187
# 03.13.2025  16:37:45  Reconciliation                                    MUL-tree # 1058 / 1187
# 03.13.2025  16:38:02  Reconciliation                                    MUL-tree # 1078 / 1187
# 03.13.2025  16:38:26  Reconciliation                                    MUL-tree # 1105 / 1187
# 03.13.2025  16:38:44  Reconciliation                                    MUL-tree # 1129 / 1187
# 03.13.2025  16:39:45  Reconciliation                                    MUL-tree # 1168 / 1187
# 03.13.2025  16:22:42  Collapsing gene tree groupings                    MUL-tree # 6 / 1187
# 03.13.2025  16:22:47  Collapsing gene tree groupings                    MUL-tree # 36 / 1187
# 03.13.2025  16:22:53  Collapsing gene tree groupings                    MUL-tree # 68 / 1187
# 03.13.2025  16:22:58  Collapsing gene tree groupings                    MUL-tree # 98 / 1187
# 03.13.2025  16:23:03  Collapsing gene tree groupings                    MUL-tree # 128 / 1187
# 03.13.2025  16:23:08  Collapsing gene tree groupings                    MUL-tree # 158 / 1187
# 03.13.2025  16:23:13  Collapsing gene tree groupings                    MUL-tree # 188 / 1187
# 03.13.2025  16:23:19  Collapsing gene tree groupings                    MUL-tree # 216 / 1187
# 03.13.2025  16:23:24  Collapsing gene tree groupings                    MUL-tree # 246 / 1187
# 03.13.2025  16:23:29  Collapsing gene tree groupings                    MUL-tree # 276 / 1187
# 03.13.2025  16:23:34  Collapsing gene tree groupings                    MUL-tree # 306 / 1187
# 03.13.2025  16:23:40  Collapsing gene tree groupings                    MUL-tree # 336 / 1187
# 03.13.2025  16:23:45  Collapsing gene tree groupings                    MUL-tree # 364 / 1187
# 03.13.2025  16:23:50  Collapsing gene tree groupings                    MUL-tree # 394 / 1187
# 03.13.2025  16:23:55  Collapsing gene tree groupings                    MUL-tree # 424 / 1187
# 03.13.2025  16:24:00  Collapsing gene tree groupings                    MUL-tree # 453 / 1187
# 03.13.2025  16:24:06  Collapsing gene tree groupings                    MUL-tree # 483 / 1187
# 03.13.2025  16:24:11  Collapsing gene tree groupings                    MUL-tree # 511 / 1187
# 03.13.2025  16:24:16  Collapsing gene tree groupings                    MUL-tree # 541 / 1187
# 03.13.2025  16:24:21  Collapsing gene tree groupings                    MUL-tree # 571 / 1187
# 03.13.2025  16:24:27  Collapsing gene tree groupings                    MUL-tree # 601 / 1187
# 03.13.2025  16:24:32  Collapsing gene tree groupings                    MUL-tree # 631 / 1187
# 03.13.2025  16:24:37  Collapsing gene tree groupings                    MUL-tree # 659 / 1187
# 03.13.2025  16:24:42  Collapsing gene tree groupings                    MUL-tree # 689 / 1187
# 03.13.2025  16:24:48  Collapsing gene tree groupings                    MUL-tree # 719 / 1187
# 03.13.2025  16:24:54  Collapsing gene tree groupings                    MUL-tree # 750 / 1187
# 03.13.2025  16:25:00  Collapsing gene tree groupings                    MUL-tree # 780 / 1187
# 03.13.2025  16:25:06  Collapsing gene tree groupings                    MUL-tree # 810 / 1187
# 03.13.2025  16:25:12  Collapsing gene tree groupings                    MUL-tree # 840 / 1187
# 03.13.2025  16:25:17  Collapsing gene tree groupings                    MUL-tree # 861 / 1187
# 03.13.2025  16:25:23  Collapsing gene tree groupings                    MUL-tree # 891 / 1187
# 03.13.2025  16:25:28  Collapsing gene tree groupings                    MUL-tree # 919 / 1187
# 03.13.2025  16:25:34  Collapsing gene tree groupings                    MUL-tree # 949 / 1187
# 03.13.2025  16:25:40  Collapsing gene tree groupings                    MUL-tree # 979 / 1187
# 03.13.2025  16:25:45  Collapsing gene tree groupings                    MUL-tree # 1005 / 1187
# 03.13.2025  16:25:51  Collapsing gene tree groupings                    MUL-tree # 1035 / 1187
# 03.13.2025  16:25:57  Collapsing gene tree groupings                    MUL-tree # 1065 / 1187
# 03.13.2025  16:26:04  Collapsing gene tree groupings                    MUL-tree # 1095 / 1187
# 03.13.2025  16:26:12  Collapsing gene tree groupings                    MUL-tree # 1125 / 1187
# 03.13.2025  16:26:20  Collapsing gene tree groupings                    MUL-tree # 1155 / 1187
# 03.13.2025  16:26:31  Collapsing gene tree groupings                    MUL-tree # 1185 / 1187
# 03.13.2025  16:27:30  Reconciliation                                    MUL-tree # 28 / 1187
# 03.13.2025  16:27:54  Reconciliation                                    MUL-tree # 57 / 1187
# 03.13.2025  16:28:01  Reconciliation                                    MUL-tree # 77 / 1187
# 03.13.2025  16:28:11  Reconciliation                                    MUL-tree # 107 / 1187
# 03.13.2025  16:28:16  Reconciliation                                    MUL-tree # 137 / 1187
# 03.13.2025  16:28:41  Reconciliation                                    MUL-tree # 166 / 1187
# 03.13.2025  16:28:47  Reconciliation                                    MUL-tree # 189 / 1187
# 03.13.2025  16:28:57  Reconciliation                                    MUL-tree # 210 / 1187
# 03.13.2025  16:29:08  Reconciliation                                    MUL-tree # 246 / 1187
# 03.13.2025  16:29:13  Reconciliation                                    MUL-tree # 273 / 1187
# 03.13.2025  16:29:33  Reconciliation                                    MUL-tree # 301 / 1187
# 03.13.2025  16:29:37  Reconciliation                                    MUL-tree # 322 / 1187
# 03.13.2025  16:29:41  Reconciliation                                    MUL-tree # 340 / 1187
# 03.13.2025  16:29:49  Reconciliation                                    MUL-tree # 359 / 1187
# 03.13.2025  16:29:58  Reconciliation                                    MUL-tree # 391 / 1187
# 03.13.2025  16:30:03  Reconciliation                                    MUL-tree # 417 / 1187
# 03.13.2025  16:30:23  Reconciliation                                    MUL-tree # 435 / 1187
# 03.13.2025  16:31:08  Reconciliation                                    MUL-tree # 545 / 1187
# 03.13.2025  16:31:26  Reconciliation                                    MUL-tree # 611 / 1187
# 03.13.2025  16:31:42  Reconciliation                                    MUL-tree # 687 / 1187
# 03.13.2025  16:31:52  Reconciliation                                    MUL-tree # 713 / 1187
# 03.13.2025  16:32:01  Reconciliation                                    MUL-tree # 740 / 1187
# 03.13.2025  16:32:10  Reconciliation                                    MUL-tree # 764 / 1187
# 03.13.2025  16:32:18  Reconciliation                                    MUL-tree # 796 / 1187
# 03.13.2025  16:32:25  Reconciliation                                    MUL-tree # 824 / 1187
# 03.13.2025  16:32:48  Reconciliation                                    MUL-tree # 840 / 1187
# 03.13.2025  16:32:55  Reconciliation                                    MUL-tree # 842 / 1187
# 03.13.2025  16:33:02  Reconciliation                                    MUL-tree # 845 / 1187
# 03.13.2025  16:33:08  Reconciliation                                    MUL-tree # 873 / 1187
# 03.13.2025  16:33:15  Reconciliation                                    MUL-tree # 901 / 1187
# 03.13.2025  16:37:02  Reconciliation                                    MUL-tree # 969 / 1187
# 03.13.2025  16:37:09  Reconciliation                                    MUL-tree # 990 / 1187
# 03.13.2025  16:37:24  Reconciliation                                    MUL-tree # 1014 / 1187
# 03.13.2025  16:37:34  Reconciliation                                    MUL-tree # 1029 / 1187
# 03.13.2025  16:37:44  Reconciliation                                    MUL-tree # 1053 / 1187
# 03.13.2025  16:38:03  Reconciliation                                    MUL-tree # 1082 / 1187
# 03.13.2025  16:38:27  Reconciliation                                    MUL-tree # 1112 / 1187
# 03.13.2025  16:38:45  Reconciliation                                    MUL-tree # 1135 / 1187
# 03.13.2025  16:39:44  Reconciliation                                    MUL-tree # 1165 / 1187
# 03.13.2025  16:22:41  Collapsing gene tree groupings                    MUL-tree # 3 / 1187
# 03.13.2025  16:22:46  Collapsing gene tree groupings                    MUL-tree # 33 / 1187
# 03.13.2025  16:22:52  Collapsing gene tree groupings                    MUL-tree # 63 / 1187
# 03.13.2025  16:22:57  Collapsing gene tree groupings                    MUL-tree # 93 / 1187
# 03.13.2025  16:23:02  Collapsing gene tree groupings                    MUL-tree # 124 / 1187
# 03.13.2025  16:23:07  Collapsing gene tree groupings                    MUL-tree # 154 / 1187
# 03.13.2025  16:23:13  Collapsing gene tree groupings                    MUL-tree # 184 / 1187
# 03.13.2025  16:23:19  Collapsing gene tree groupings                    MUL-tree # 217 / 1187
# 03.13.2025  16:23:24  Collapsing gene tree groupings                    MUL-tree # 247 / 1187
# 03.13.2025  16:23:29  Collapsing gene tree groupings                    MUL-tree # 278 / 1187
# 03.13.2025  16:23:35  Collapsing gene tree groupings                    MUL-tree # 309 / 1187
# 03.13.2025  16:23:40  Collapsing gene tree groupings                    MUL-tree # 339 / 1187
# 03.13.2025  16:23:45  Collapsing gene tree groupings                    MUL-tree # 369 / 1187
# 03.13.2025  16:23:51  Collapsing gene tree groupings                    MUL-tree # 401 / 1187
